country	continent	int	m	sd	extreme
Gambia	Africa	28.4003717948718	0.581825874125873	1.14756100157291	best
Tunisia	Africa	44.5553076923077	0.587843356643356	1.55905632610629	best
Libya	Africa	42.1019358974359	0.625535664335664	1.53988573827618	best
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	7.20543069561591	worst
Zambia	Africa	47.6580256410256	-0.0604251748251749	4.52871277959789	worst
Rwanda	Africa	42.7419487179487	-0.0458314685314688	6.55826947735801	worst
Saudi Arabia	Asia	40.8141153846154	0.649623076923077	2.0814742935274	best
Vietnam	Asia	39.0100769230769	0.671615384615384	1.31364912186802	best
Oman	Asia	37.2077435897436	0.772179020979021	2.34771953378678	best
Iraq	Asia	50.1134615384616	0.235210489510489	4.05709657090687	worst
Sri Lanka	Asia	59.7914871794872	0.244894405594405	1.08759675683492	worst
Lebanon	Asia	58.687358974359	0.26102937062937	1.22773110177881	worst
Guatemala	Americas	42.1193974358974	0.531273426573426	0.581178943372102	best
Honduras	Americas	42.9924102564102	0.542851748251748	1.56428450395829	best
Nicaragua	Americas	43.0451282051282	0.55651958041958	0.598421406371567	best
Paraguay	Americas	62.4818333333334	0.157354545454545	0.391417619723876	worst
Trinidad and Tobago	Americas	62.0523076923077	0.173661538461538	1.65198415432892	worst
Uruguay	Americas	65.7416025641026	0.183272027972027	0.533679901201452	worst
Portugal	Europe	61.1467948717949	0.337201398601398	1.13970538560075	best
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	2.25666509490946	best
Turkey	Europe	46.0223205128205	0.49723986013986	1.14706605026026	best
Denmark	Europe	71.0335897435898	0.12133006993007	0.39878806202658	worst
Hungary	Europe	65.9928205128205	0.123648951048951	1.18712607166354	worst
Norway	Europe	72.2146153846154	0.131941258741258	0.489679044307153	worst
